feature,importance
x1_REAP_Antigen_TM4SF18_Epitope-2-N_ML,0.002477915762935611
x1_Cytokines_IL-25_Obs_Conc_pg/mL_GG4.7_ML,0.0024589825829389963
x0_Symp_Survey_phq2total_Normalized_Sum,0.002406988505877846
x1_REAP_Antigen_SLC20A2_Epitope-5-N,0.0023833454598911306
x1_REAP_Antigen_DEFB130B,0.0023724109275329946
x0_LC_Symptom_bloat_ML_7,0.002357527558893432
x1_REAP_Antigen_MRGPRX2_Epitope-3-N,0.002323789588732885
x1_REAP_Antigen_OR14C36_Epitope-1-N,0.002319124395538286
x0_Symp_Survey_prom_sleep_Normalized_Sum,0.0023073063462295245
x1_REAP_Antigen_CELSR1_Epitope-3-N,0.0022990199186987037
x1_REAP_Antigen_C17orf67,0.0022530098925520833
x1_REAP_Virus_Antigen_P30_TOXGO1_ML,0.002234490370442972
x1_REAP_Antigen_OR11H7_Epitope-3-N_ML,0.002200532877106953
x1_Flow_Cyt_NaiveBofASC,0.002176027077862123
x1_REAP_Antigen_SLC5A9_Epitope-2-N_ML,0.002121840093753625
x1_Cytokines_IL-12_Obs_Conc_pg/mL_GG4.5_ML,0.002062403903728748
x1_REAP_Antigen_PLA2G2E_ML,0.00198679779718837
x1_Flow_Cyt_CD4IL6number_ML2,0.001975388094270372
x1_REAP_Antigen_OR2I1P_Epitope-1-N,0.0019637943551739792
x0_LC_Symptom_confusion_ML_2,0.0019606362493637852
x0_Symp_Survey_phq2total_Sum,0.001920749615401476
x1_REAP_Antigen_CACNA1E_Epitope-12,0.0019191299229217673
x1_REAP_Antigen_GPX5,0.0019095141646604283
x1_Flow_Cyt_CD8IL2number_ML2,0.0018970959887531
x1_REAP_Virus_Antigen_HepatitisB_A2_Envelope_1,0.0018921992595112825
x1_Flow_Cyt_CD86HLADRBofLive,0.0018735026678206779
x1_Flow_Cyt_CD8IL6ofLive,0.0018454234260651967
x0_LC_Symptom_jtpain_swell_ML_8,0.0018375449984909414
x0_Symp_Survey_neuroqol6,0.0018109643385436902
x0_Symp_Survey_phq2_1,0.0017983292556899087
x1_Flow_Cyt_CD4IL4number_ML2,0.0017642973151279994
x1_REAP_Virus_Antigen_HSV1_gL_ML,0.0017498174330414346
x1_REAP_Antigen_MARCHF6_Epitope-6-N_ML,0.0017336429768027024
x1_Flow_Cyt_CD4IL4ofLive,0.0017328573199243652
x1_REAP_Antigen_LEP,0.0017286304570133177
x1_REAP_Antigen_OR52B4_Epitope-2-N,0.0017133700506958762
x1_Flow_Cyt_CD4IL4pofCD4_ML,0.0016920986837878557
x0_Symp_Survey_fss8,0.0016917605586783515
x1_REAP_Antigen_PTGER1_Epitope-3-N,0.0016820422331315006
x1_Flow_Cyt_HLADRCD16hiNeutMFInonnorm,0.0016554070314957923
x1_REAP_Antigen_HTR2B_Epitope-2-N,0.001619365298666704
x1_Flow_Cyt_DC1,0.0016078347643204687
x1_REAP_Antigen_AMTN_ML,0.0015689579531483568
x1_REAP_Antigen_PKD1_Epitope-5-N,0.0015666796864152507
x1_Flow_Cyt_CD4IL2ofCD4_ML,0.0015654168357747778
x1_REAP_Antigen_OR2A12_Epitope-2-N,0.0015533868130640238
x1_REAP_Antigen_BDKRB2_Epitope-4-N,0.0015401762254476125
x1_REAP_Virus_Antigen_Powassan_EnvelopeE,0.0015399154184254729
x1_REAP_Antigen_OR2I1P_Epitope-2-N,0.001518786243855174
x1_REAP_Antigen_OR6K6_Epitope-2-N,0.0015068223155351175
x0_LC_Symptom_indig_reflux_ML_7,0.00150019984092308
x1_REAP_Antigen_O11H4_Epitope-3-N,0.0014670175970329022
x0_Symp_Survey_neuroqol_t_Normalized_Sum,0.0014590203558389409
x1_Flow_Cyt_CD4TexofCD3,0.0014527914980590187
x1_Cytokines_CCL23_Obs_Conc_pg/mL_GG3.2_ML,0.0014403603204437476
x1_REAP_Antigen_P4HB,0.0014339841324044862
x1_REAP_Virus_Antigen_HPV22_L1,0.001431015236400505
x1_Cytokines_TGFÎ±_Obs_Conc_pg/mL_GG14.1_ML,0.0014245590639743303
x0_Symp_Survey_neuroqol3,0.0014186850214831124
x1_REAP_Antigen_APOH,0.0013980571289772814
x1_Cytokines_PDGF-AA_Obs_Conc_pg/mL_GG14.5_ML,0.0013866858942051625
x1_Cytokines_IL-2_Obs_Conc_pg/mL_GG4.2_ML,0.001379365077933038
x1_Flow_Cyt_TotalNeut,0.0013743127390472118
x1_REAP_Antigen_OR52H1_Epitope-1-N,0.0013680201894350726
x0_Symp_Survey_phq2_2,0.0013576914720228716
x0_LC_Symptom_weakness_ML_8,0.001352295485498116
x1_REAP_Antigen_PGA4_ML,0.001351379485618022
x0_Symp_Survey_fatigue_vas,0.0013495028167880266
x1_REAP_Antigen_OR52J3_Epitope-2-N,0.0013471996450667453
x1_REAP_Antigen_OR2Y1_Epitope-3-N,0.001343477918487121
x1_Flow_Cyt_DC2,0.0013164411016167107
x1_REAP_Antigen_AVPR1B_Epitope-3-N_ML,0.001308283522572551
x0_Symp_Survey_fss1,0.0013031392705158934
x1_REAP_Antigen_PLA2G2A,0.0012912248529714768
x1_REAP_Antigen_PMCH,0.0012900333572911388
x1_REAP_Antigen_SPAG11B_ML,0.0012846309983772914
x1_Flow_Cyt_HLADRofcMono,0.0012817035128170333
x1_REAP_Virus_Antigen_EBV_p23_ML,0.0012796718729261504
x1_Flow_Cyt_CD4PD1nTemofCD3,0.0012677675573201832
x1_REAP_Antigen_CLDN8,0.001248422406570265
x1_Flow_Cyt_Live,0.0012483954451738863
x0_Symp_Survey_mrc_Normalized_Sum,0.0012286761896834265
x1_REAP_Antigen_CHRM5_Epitope-2-N,0.001224597295808026
x1_REAP_Antigen_OR14J1_Epitope-2-N,0.0012033637396973494
x1_Cytokines_XCL1_Obs_Conc_pg/mL_GG3.1_ML,0.0011957758016302264
x1_REAP_Antigen_SLC46A2_Epitope-4-N_ML,0.0011865739194520332
x1_REAP_Antigen_DKK1,0.0011754639608983527
x1_Cytokines_MBL_Obs_Conc_ng/mL_GG16.5_ML,0.0011731315481961586
x1_REAP_Antigen_SCN5A_Epitope-15-N,0.0011657602711948383
x1_REAP_Antigen_MAS1L_Epitope-2-N,0.0011609905577918435
x1_SI_HSV2_Patient_Report_No_stage_Unmapped_DXMAVQ_zscore,0.0011609064613622043
x1_REAP_Antigen_OR4F21_Epitope-3-N_ML,0.0011372859006411004
x0_Symp_Survey_pem_freq2,0.0011367049778724754
x1_REAP_Antigen_CLDN18,0.0011355279773438611
x1_REAP_Antigen_OR52N4_Epitope-4-N,0.0011329089051161677
x1_REAP_Antigen_C5orf46,0.0011278761885762725
x1_REAP_Antigen_ZDHHC5_Epitope-2-N,0.0011187681355674687
x1_REAP_Antigen_SLC10A2_Epitope-3-N_ML,0.0011170314704123357
x1_REAP_Antigen_GP1BA_Domain-1-6-N,0.0011118858415788866
x0_LC_Symptom_brainfog_ML_2,0.0011094770472816423
x1_REAP_Virus_Antigen_HPV39_L1,0.0011074800198029187
x1_REAP_Antigen_OR13H1_Epitope-2-N,0.0011030404334389382
x1_REAP_Antigen_GNRHR2_Epitope-3-N_ML,0.0010889170745142524
x1_REAP_Antigen_TRPC1,0.0010883794701926307
x1_REAP_Antigen_GALR3_Epitope-3-N,0.0010777685573462202
x1_Flow_Cyt_CD4IL4ofCD3,0.0010776951729278568
x1_REAP_Antigen_LMBR1L_Epitope-5-N,0.001071694760528525
x1_REAP_Antigen_UNQ6190/PRO20217,0.0010670601029329832
x1_REAP_Antigen_FAM19A5,0.001066765737406188
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Spike_K[WY]X[AP]FXQ_Motif_Family_1_zscore,0.001065551287149409
x1_REAP_Antigen_OR52D1_Epitope-4-N_ML,0.0010557175238102689
x0_Symp_Survey_neuroqol4,0.0010469794873424836
x1_REAP_Antigen_GJA10_Epitope-2-N,0.0010366805497587224
x1_REAP_Antigen_KRTDAP,0.0010357643174725983
x0_LC_Symptom_nausea_ML_7,0.001032425675433538
x1_Flow_Cyt_CD8PD1pAAofCD8_GG33.13_ML,0.0010289621766086505
x1_REAP_Antigen_SLC26A4_Epitope-3-N,0.0010227621920629502
x1_REAP_Antigen_TRPM7_Epitope-3-N,0.00102074017900219
x1_REAP_Antigen_CXCR6_Epitope-4-N,0.001017510939747448
x1_REAP_Antigen_TEX46,0.001015406111470446
x1_SI_EBV_Patient_Report_Mono_specific_Unmapped_FGX[ED]XN[RMAK]_zscore,0.0010140116189390198
x1_Flow_Cyt_CD4IL6ofCD3,0.001007888659951747
x1_REAP_Antigen_IGHG4_ML,0.0010073731938865748
x1_REAP_Antigen_SLC6A17_Epitope-6-N,0.0010052135107842279
x1_REAP_Antigen_COV2-RBD,0.0009991093282129442
x0_Vac_Status_Second,0.0009922639338756608
x1_REAP_Antigen_OR52N2_Epitope-4-N_ML,0.000975161557511099
x1_Cytokines_CCL2_Obs_Conc_pg/mL_GG3.2_ML,0.000961720972858489
x1_SI_EBV_Patient_Report_Latent_and_Mono_small_capsomere_interacting_protein_(BFRF3)_PX[DNE]TXPR_Motif_Family_35_zscore_Max_ML,0.0009447131291011912
x1_REAP_Antigen_OR6C70_Epitope-3-N_ML,0.0009385711177193276
x1_Flow_Cyt_cMono,0.0009357844308371952
x1_REAP_Antigen_OR1B1_Epitope-1-N,0.0009290032507218735
x1_REAP_Antigen_ABCB1_Epitope-6-N_ML,0.0009280333316994097
x1_Flow_Cyt_CD8PD1nTemofCD8,0.0009251360564432904
x1_Cytokines_CX3CL1_Obs_Conc_pg/mL_GG3.4_ML,0.0009251015163853091
x1_REAP_Antigen_RLN1,0.0009106325101926608
x0_Symp_Survey_gad7_2,0.0009086854775306601
x1_Flow_Cyt_HLADRTotalNeutMFInonnorm,0.0009072984318571773
x1_REAP_Antigen_OR4F3;_Epitope-3-N_ML,0.0009013770748687493
x1_REAP_Antigen_IGHG2_ML,0.0008975770637353251
x1_REAP_Antigen_RARRES2,0.0008797715766752548
x1_REAP_Antigen_SLC8A2_Epitope-6-N,0.000865851171895613
x1_Cytokines_CXCL5_Obs_Conc_pg/mL_GG3.3_ML,0.0008623642749309781
x0_LC_Symptom_heartpalp_ML_6,0.0008562089690454064
x1_REAP_Antigen_ADRB1_Epitope-3-N,0.0008477297904203269
x1_REAP_Antigen_OR51G1_Epitope-2-N,0.0008402231176239588
x1_REAP_Antigen_TEX264,0.0008383619688752456
x1_Flow_Cyt_CD8CXCR3pofCD8_ML,0.0008367031208910965
x0_LC_Symptom_tinnitus_ML_2,0.000834234852384883
