model,accuracy_mean,accuracy_std,recall_mean,precision_mean,f1_mean,roc_auc_mean,avg_precision_mean
BalancedRF,0.9793759915388682,0.027250032293345224,0.9959595959595959,0.9690248266718855,0.9818164067355647,0.9942099567099567,0.9948465450280388
RandomForest,0.978300722721664,0.0273779147745338,0.9959595959595959,0.9672173048643639,0.9808766619868795,0.9942672523554877,0.9951090850383272
GradientBoosting,0.9750396615547331,0.028904263580810836,0.990017825311943,0.9665724242194831,0.9777366766355723,0.9868538324420678,0.9859548745666451
LogisticRegression,0.9945531464833421,0.010098062930563366,0.9959595959595958,0.9941142517613106,0.9949929485036558,0.9990641711229947,0.999277907124797
