model,accuracy_mean,accuracy_std,recall_mean,recall_std,f1_mean,f1_std,avg_precision_mean,avg_precision_std,roc_auc_mean,roc_auc_std
RandomForest,0.9632822139961221,0.009468732397266168,0.03333333333333333,0.12909944487358058,0.04444444444444444,0.17213259316477408,0.39377091986359936,0.19745697359536296,0.7431732580037664,0.148443288699126
GradientBoosting,0.9307949938304249,0.027040951868354285,0.05555555555555555,0.1499559018070729,0.035555555555555556,0.0971553057694403,0.1685781250191469,0.14646301281472734,0.6298116760828626,0.16012443901808415
LogisticRegression,0.8927727833597744,0.04909789624414173,0.12222222222222222,0.21331349114072815,0.10497354497354495,0.2018075703645782,0.15702017076947836,0.13827174016360835,0.6664689265536724,0.14423816462791123
