fold,train_size,test_size,n_minority_train,best_params,accuracy,precision,recall,f1,avg_precision,roc_auc,confusion_matrix
1,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.967741935483871,0.0,0.0,0.0,0.6666666666666666,0.9708333333333333,"[[60, 0], [2, 0]]"
2,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.3911290322580645,0.6497175141242938,"[[59, 0], [3, 0]]"
3,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9672131147540983,0.0,0.0,0.0,0.5196078431372549,0.6101694915254237,"[[59, 0], [2, 0]]"
4,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.967741935483871,0.0,0.0,0.0,0.525,0.6916666666666667,"[[60, 0], [2, 0]]"
5,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.5051282051282051,0.8559322033898304,"[[59, 0], [3, 0]]"
6,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9672131147540983,0.0,0.0,0.0,0.1625,0.8516949152542374,"[[59, 0], [2, 0]]"
7,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.967741935483871,0.0,0.0,0.0,0.5833333333333334,0.9166666666666666,"[[60, 0], [2, 0]]"
8,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.9516129032258065,0.0,0.0,0.0,0.1185099846390169,0.5,"[[59, 0], [3, 0]]"
9,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9672131147540983,0.0,0.0,0.0,0.2763157894736842,0.6864406779661016,"[[59, 0], [2, 0]]"
10,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.967741935483871,0.0,0.0,0.0,0.5714285714285714,0.9041666666666667,"[[60, 0], [2, 0]]"
11,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.0939068100358423,0.615819209039548,"[[59, 0], [3, 0]]"
12,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9836065573770492,1.0,0.5,0.6666666666666666,0.5384615384615384,0.8050847457627119,"[[59, 0], [1, 1]]"
13,123,62,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 50, 'clf__n_estimators': 100, 'clf__max_depth': 3}",0.967741935483871,0.0,0.0,0.0,0.10333333333333333,0.5583333333333333,"[[60, 0], [2, 0]]"
14,123,62,4,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9516129032258065,0.0,0.0,0.0,0.3304093567251462,0.887005649717514,"[[59, 0], [3, 0]]"
15,124,61,5,"{'smote__k_neighbors': 1, 'sel_l1__estimator__C': 0.2, 'kbest__k': 100, 'clf__n_estimators': 200, 'clf__max_depth': None}",0.9672131147540983,0.0,0.0,0.0,0.5208333333333334,0.6440677966101696,"[[59, 0], [2, 0]]"
