model,accuracy_mean,accuracy_std,recall_mean,recall_std,f1_mean,f1_std,avg_precision_mean,avg_precision_std,roc_auc_mean,roc_auc_std
BalancedRF,0.5459192667019216,0.003612533321332443,1.0,0.0,0.7062647754137116,0.003028058736985708,0.9950349759723036,0.009022744852838098,0.9943913929208048,0.009904453410780098
RandomForest,0.5459192667019216,0.003612533321332443,1.0,0.0,0.7062647754137116,0.003028058736985708,0.9949598986540342,0.006957773650201486,0.9940592903828199,0.008239944724543884
GradientBoosting,0.5459192667019216,0.003612533321332443,1.0,0.0,0.7062647754137116,0.003028058736985708,0.9558504961607521,0.05057439605690071,0.9664385451150158,0.03327094912128446
LogisticRegression,0.5459192667019216,0.003612533321332443,1.0,0.0,0.7062647754137116,0.003028058736985708,0.9987611915936921,0.0031571037104011664,0.9983426704014939,0.00428789144349497
