Feature,Importance
x1_SI_HSV2_Patient_Report_No_stage_Ribonucleoside_diphosphate_reductase_large_subunit_PXP[FY]PW_Motif_Family_2_zscore_Max_ML,9.450720520721047e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Nucleocapsid_K[DS]G[ILV]XW_Motif_Family_28_zscore_Max_ML,8.956432776708276e-05
x1_Cytokines_IL-18_Obs_Conc_pg/mL_GG4.1_ML,8.919546630804665e-05
x1_Cytokines_Galectin-1_Obs_Conc_pg/mL_GG24.1_ML,8.42291542662982e-05
x1_SI_EBV_Patient_Report_Latent_and_Mono_BZLF1_DXYQ[IV]X[WF]_Motif_Family_19_zscore_Max_ML,6.672854661783215e-05
x0_PMH_eating,6.5306410478485e-05
x1_Flow_Cyt_CD66bTotalNeutMFInonnorm,6.250822309463172e-05
x1_Flow_Cyt_CD16hiNeutnumber_ML2,6.221442735485984e-05
x1_Flow_Cyt_USMemofAct,6.151587519049745e-05
x1_REAP_Antigen_OR14J1_Epitope-3-N,6.101619240872265e-05
x1_SI_HSV1_Patient_Report_No_stage_Envelope_glycoprotein_D_KXPXRIX[LI]_Motif_Family_20_zscore_Max_ML,6.04279468719075e-05
x1_SI_Schistosoma_haematobium_Patient_Report_No_stage_Parasitic_All_motif_ScoreSum,5.593567767631298e-05
x1_Flow_Cyt_DC2ofLive_GG31.3_ML,5.5534908141243684e-05
x1_REAP_Antigen_OR52N2_Epitope-2-N,5.30666030947313e-05
x1_Flow_Cyt_NKTofLive_GG32.2_ML,4.9461758085263624e-05
x1_SI_CMV_Patient_Report_No_stage_Unmapped_P[DE]XYWXK_zscore,4.508468840015459e-05
x1_REAP_Virus_Antigen_H1N1_2018_HA_ML,4.372164387897546e-05
x1_REAP_Antigen_PGF,4.002298624773519e-05
x1_REAP_Antigen_KCNU1_Epitope-2-N,3.973499234944885e-05
x1_SI_EBV_Patient_Report_Latent_and_Mono_EBNA1_GAG[SNA]XXXX[IAV]_Motif_Family_21_zscore_Max_ML,3.9412981779095374e-05
x1_SI_NY_ESO_Motif_2_Patient_Report_No_stage_Cancer_Biomarker_All_motif_ScoreSum,3.7694194512437206e-05
x1_REAP_Antigen_LIPK,3.747180666884678e-05
x1_SI_SARS_CoV_2_SCSCoV2_Panel_No_stage_Additional_Mimitopes_FXXVC[ENA]K_Motif_Family_15_zscore,3.50207354990079e-05
x1_Flow_Cyt_CD4Temnumber_ML2,3.454510065876273e-05
x1_SI_HSV1_Patient_Report_No_stage_Envelope_glycoprotein_E_HXGAPXM_Motif_Family_17_zscore_Max_ML,3.4307354678848556e-05
x1_Cytokines_Leptin_Obs_Conc_pg/mL_GG4.3_ML,3.370197126678066e-05
x1_Flow_Cyt_IL4ofCD8num_ML2,3.334827327239471e-05
x1_Flow_Cyt_ASCofB_ML,3.270150590122769e-05
x0_LC_Symptom_jtpain_swell_ML_8,3.2281357854364866e-05
x1_Flow_Cyt_HLADRofintMono,3.183137496493262e-05
x1_SI_CMV_Patient_Report_No_stage_Unmapped_P[ML][DE]XXIH_zscore,3.055916951292152e-05
