,mean,std
accuracy,0.9297297297297296,0.02460159431980539
precision,0.0,0.0
recall,0.0,0.0
f1,0.0,0.0
avg_precision,0.05150722150722151,0.039144755684583886
roc_auc,0.5214021164021163,0.10827792419294387
