pipeline,roc_auc,avg_precision,brier_score,wilcoxon_stat,wilcoxon_p,pos_prob_mean,pos_prob_std,neg_prob_mean,neg_prob_std,best_threshold,recall_at_threshold,precision_at_threshold,f1_at_threshold,confusion_matrix,positive_sample_probs
Logistic_PCA50_cost20,0.7150882825040129,0.07467765251084436,0.11928368719691802,1.9284568410548675,0.02689916378492178,0.1853270879256221,0.2441955235519802,0.1272565384694059,0.2816648533183561,1.0,0.0,0.0,0.0,"[[166, 12], [7, 0]]","[0.003325318351441654, 0.0028762652680196987, 0.03090810689170502, 0.6624592061629115, 0.03699481725212453, 0.4527590880698008, 0.10796681348335166]"
Logistic_PCA50_cost25,0.7182985553772071,0.07544356429305994,0.12197710355436366,1.9572397789810594,0.025159641999438372,0.19595062523578924,0.2601468802471636,0.13007661909031232,0.28595213128302266,1.0,0.0,0.0,0.0,"[[166, 12], [7, 0]]","[0.002901891130350016, 0.00249914032133503, 0.031013639669374208, 0.7005750153025355, 0.036996557930087194, 0.48692595826762114, 0.11074217402922162]"
Logistic_PCA100_cost20,0.7592295345104333,0.07932762336194113,0.17115874577612195,2.3242222375400083,0.01005679302775697,0.17858162656598,0.24210575541062793,0.17045805531562666,0.3464020990051716,1.0,0.0,0.0,0.0,"[[160, 18], [7, 0]]","[0.03874089967912126, 0.019127819771450838, 0.059163730746574064, 0.7535888931202233, 0.04152512975203735, 0.19599855827813498, 0.14192635461431816]"
BalancedRF_PCA50,0.8045746388443017,0.28134743721097666,0.16706013513513512,2.730781235747471,0.003159219883203452,0.5171428571428571,0.10277774713488541,0.39323033707865174,0.09703374705959625,0.55,0.42857142857142855,0.21428571428571427,0.2857142857142857,"[[167, 11], [4, 3]]","[0.395, 0.405, 0.43, 0.675, 0.575, 0.62, 0.52]"
SMOTE_Logistic_PCA50,0.6942215088282504,0.06833362849006798,0.1362738285527602,1.7413677445346192,0.04080956919796823,0.1968888262363741,0.2678824387194272,0.14435544061254837,0.30431509558851155,1.0,0.0,0.0,0.0,"[[166, 12], [7, 0]]","[0.0020239601818074224, 0.0014662163338872288, 0.024248694076503645, 0.776652146704864, 0.012351806543785105, 0.3585816133068513, 0.2028973465069199]"
