Logistic_PCA50_cost20,Logistic_PCA50_cost25,Logistic_PCA100_cost20,BalancedRF_PCA50,SMOTE_Logistic_PCA50,true_label
0.0001062691917192378,8.283397172292395e-05,0.0026024019919300106,0.465,0.0005132770304549341,0
4.598459973096635e-112,6.966025614735766e-122,2.0935597463702026e-105,0.245,1.5119055536606242e-218,0
7.206199414112029e-194,1.1716037887498896e-203,1.851057084019465e-51,0.26,4.557184929473869e-165,0
8.980565008646743e-08,4.461463802824691e-08,0.0009028698425832679,0.3,1.405736857720201e-07,0
0.4654171410561857,0.4788525409904158,1.1410209041085981e-05,0.415,0.40421016041818014,0
3.332663438309646e-124,5.794588661538876e-128,0.0,0.305,4.768554723295636e-205,0
1.8142662243203835e-14,4.661463021810208e-15,2.224360745253416e-06,0.295,6.209650986342164e-14,0
1.487673882923091e-18,6.345682509451995e-20,7.217158201402213e-25,0.28,9.69268786594838e-11,0
9.51996876467232e-17,1.177076699617079e-17,1.6776035823534794e-36,0.365,0.9999999999878559,0
1.8855217314434234e-05,1.176098733513957e-05,0.0019352745879014479,0.385,4.818545911801995e-05,0
0.03176837752727204,0.029458180510059526,0.0448328589629332,0.475,0.6636758217072055,0
0.24986781101980599,0.26072160564700814,0.2255526351201553,0.655,0.2907932969046313,0
0.00014453702218679806,0.00010789234052706977,9.165451102050698e-05,0.51,1.1705538542271688e-05,0
1.0960767183049563e-05,7.173696153947171e-06,3.9130472574985505e-05,0.32,4.44520707055828e-06,0
0.0027289198097193257,0.0024319531749113013,0.011665290368500062,0.4,0.0003380888695140023,0
1.3350400123395602e-40,1.665560797845484e-41,0.9999999999999845,0.33,6.30191253610861e-12,0
1.0,1.0,1.0,0.385,1.0,0
0.0,0.0,1.0,0.305,0.0,0
6.532288828691447e-09,2.9738088613799684e-09,0.15983792029376337,0.36,4.604014853380494e-10,0
9.784575561558639e-05,6.339468569706609e-05,0.02900507410283224,0.425,0.00010556386923375775,0
1.181405854894191e-05,6.982526239963411e-06,0.0013209056845443778,0.355,1.5924772273312403e-05,0
0.01606258404002802,0.01467092110332667,0.002338941508156294,0.41,0.021059705974597658,0
0.3837098343980346,0.7015314268239589,1.0,0.315,5.52178566763337e-12,0
1.65692586198858e-07,9.998290909856017e-08,1.5744455898150557e-05,0.305,4.899285289346634e-09,0
1.716076027371216e-153,1.2452420829528503e-162,6.426553645807645e-160,0.235,1.3999603576583317e-42,0
0.0002191177113871034,0.0001728073170354057,0.0006388105141831717,0.325,5.625791255437173e-05,0
1.1407684974165544e-09,2.0484643639299083e-10,1.0,0.3,1.220088296562129e-07,0
0.010235390890366602,0.009288508038252355,0.0018009035323391415,0.365,0.004794468377020841,0
0.001271747098509402,0.0011015525190285146,0.20501732214524626,0.445,0.0012870060256195935,0
2.0326311380803286e-110,1.1295993895685077e-114,0.0,0.315,6.01491127268243e-191,0
0.0015116483109520046,0.0011851428332128877,0.006559405132582015,0.355,0.002049298774550947,0
0.018509604219423183,0.01827335710178411,0.0054575801312081226,0.44,0.013814556835793754,0
1.965053597770082e-08,9.226020280230639e-09,1.480210678625571e-07,0.32,6.348058815034654e-10,0
4.141840461414025e-05,2.899357519945374e-05,0.003940154797053058,0.39,2.3215123568122877e-05,0
0.06467045053567769,0.0651907035288179,0.006617107490424136,0.51,0.10246464339603407,0
0.019482800841999066,0.018595812577170846,0.012063232270295743,0.45,0.015274544178340024,0
7.054802624120861e-11,2.0806034523143e-11,1.1150927641432888e-15,0.28,0.8059997368781401,0
1.6820139575799273e-31,1.755194955053546e-32,7.089635198946634e-21,0.25,6.554892501241513e-27,0
0.00583078380881845,0.004835954300100489,0.014830842070325617,0.48,0.008218092859940676,0
7.24238283842648e-77,1.3098883869657246e-79,0.002030486687627194,0.345,1.0784802152882432e-145,0
0.001514297168034944,0.0012370345689685957,0.2371094040789437,0.47,0.0006473289700531267,0
0.0011052370312448266,0.0009128669087015216,0.0016953534824098227,0.405,0.000614109890729137,0
0.0,0.0,1.0,0.28,0.0,0
1.0,1.0,1.0,0.39,1.0,0
