model,folds,accuracy_mean,accuracy_sd,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,avg_precision_mean,accuracy_ci_low,accuracy_ci_high,roc_auc_ci_low,roc_auc_ci_high,f1_ci_low,f1_ci_high
BalancedRF,15,0.9423423423423424,0.03208739674079264,0.946296685340803,0.9901420217209691,0.9046031746031746,0.944052687313278,0.9970424836601308,0.9977583282347912,0.9261261261261262,0.9585585585585588,0.9944887371615312,0.9992156862745099,0.9280789349210404,0.9601245279614984
LogisticRegression,15,0.9639639639639641,0.03635636265592156,0.9673015873015873,1.0,0.9346031746031744,0.9650658350658351,0.9994047619047619,0.9995796474057346,0.945945945945946,0.9801801801801804,0.9984126984126984,1.0,0.9468570686070686,0.9813696581196582
RandomForest,15,0.9585585585585584,0.03664226243983101,0.9613398692810458,0.9894117647058824,0.9344444444444445,0.9603837035415983,0.9966503267973856,0.9974358786576834,0.9405405405405405,0.9747747747747748,0.9942623716153128,0.9986320611577965,0.9420916645390329,0.9764102564102564
GradientBoosting,15,0.9117117117117117,0.05545168673156884,0.9197619047619049,1.0,0.8395238095238096,0.9098419529998478,0.9964495798319329,0.9972575555520963,0.8828828828828831,0.9387387387387387,0.9934873949579832,0.9988235294117647,0.8802152377941854,0.9373588985167933
